routename,port1name,port2name,lon,lat,point_id,distance
Shanghai ==> Dampier,Shanghai,Dampier,121.426267,31.477125,0,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,122.302903,31.10356,1,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,122.820148,31.072923,2,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,122.945252,30.944467,3,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,123.052007,30.503912,4,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,123.061573,29.994403,5,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,122.444775,24.567652,6,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,121.385082,22.079767,7,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,119.694818,16.726563,8,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,119.6576,15.69234,9,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,119.8642,13.95419,10,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,120.776233,12.577888,11,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,121.018637,12.067048,12,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,121.365143,10.79917,13,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,120.807142,9.548617,14,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,120.46495,8.454228,15,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,119.845753,5.97637,16,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,119.617497,4.81272,17,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,119.546815,0.779903,18,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,118.499183,-3.065235,19,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,118.337192,-3.547255,20,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,117.028718,-5.454377,21,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,116.804138,-6.943768,22,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,116.07172,-7.814877,23,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,115.678715,-8.788862,24,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,115.623693,-9.149088,25,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,116.855902,-19.142338,26,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,116.863028,-19.846438,27,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,116.722822,-20.307398,28,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,116.545523,-20.362877,29,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,116.720298,-20.420647,30,3317.43
Shanghai ==> Dampier,Shanghai,Dampier,116.671732,-20.647008,31,3317.43
Shanghai ==> Port Hedland,Shanghai,Port Hedland,121.424918,31.477365,0,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,121.996695,31.088003,1,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,123.137073,30.830565,2,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,123.264043,30.63572,3,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,123.299135,30.404752,4,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,123.220948,29.945363,5,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,122.981773,29.523205,6,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,122.883302,29.164407,7,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,120.149063,24.524332,8,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,119.569508,22.380913,9,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,119.202935,15.993888,10,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,119.778358,14.072488,11,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,120.464595,12.231692,12,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,120.572555,10.859128,13,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,120.375582,8.609965,14,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,119.671467,5.24128,15,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,119.620192,0.974147,16,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,118.76477,-1.966695,17,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,118.48016,-3.40264,18,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,116.981147,-5.727227,19,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,115.63884,-8.926042,20,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,118.255227,-19.173973,21,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,118.416827,-19.761733,22,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,118.539735,-19.845512,23,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,118.472,-19.9309,24,3301.69
Shanghai ==> Port Hedland,Shanghai,Port Hedland,118.56974,-20.313268,25,3301.69
Shanghai ==> Port Walcott,Shanghai,Port Walcott,121.390167,31.494277,0,3315.15
Shanghai ==> Port Walcott,Shanghai,Port Walcott,122.307217,31.101373,1,3315.15
Shanghai ==> Port Walcott,Shanghai,Port Walcott,123.0472,31.0744,2,3315.15
Shanghai ==> Port Walcott,Shanghai,Port Walcott,123.3225,30.896,3,3315.15
Shanghai ==> Port Walcott,Shanghai,Port Walcott,123.4916,29.563,4,3315.15
Shanghai ==> Port Walcott,Shanghai,Port Walcott,122.929853,26.894917,5,3315.15
Shanghai ==> Port Walcott,Shanghai,Port Walcott,119.10749,15.960673,6,3315.15
Shanghai ==> Port Walcott,Shanghai,Port Walcott,119.191667,15.559907,7,3315.15
Shanghai ==> Port Walcott,Shanghai,Port Walcott,120.356187,12.539147,8,3315.15
Shanghai ==> Port Walcott,Shanghai,Port Walcott,120.563762,11.077347,9,3315.15
Shanghai ==> Port Walcott,Shanghai,Port Walcott,120.573493,10.358667,10,3315.15
Shanghai ==> Port Walcott,Shanghai,Port Walcott,119.5992,4.710053,11,3315.15
Shanghai ==> Port Walcott,Shanghai,Port Walcott,119.579867,1.024773,12,3315.15
Shanghai ==> Port Walcott,Shanghai,Port Walcott,118.617813,-2.50616,13,3315.15
Shanghai ==> Port Walcott,Shanghai,Port Walcott,118.576998,-3.232268,14,3315.15
Shanghai ==> Port Walcott,Shanghai,Port Walcott,116.952213,-5.695173,15,3315.15
Shanghai ==> Port Walcott,Shanghai,Port Walcott,115.720133,-8.82984,16,3315.15
Shanghai ==> Port Walcott,Shanghai,Port Walcott,117.448582,-20.43132,17,3315.15
Shanghai ==> Port Walcott,Shanghai,Port Walcott,117.40288,-20.542107,18,3315.15
Shanghai ==> Port Walcott,Shanghai,Port Walcott,117.180765,-20.583183,19,3315.15
Shanghai ==> Acu Superport,Shanghai,Acu Superport,121.435917,31.469858,0,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,122.30956,31.10027,1,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,122.70925,31.086248,2,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,123.422445,30.853711,3,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,123.723215,30.028381,4,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,123.706568,29.764962,5,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,123.537835,29.47086,6,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,123.56448,28.948113,7,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,122.327612,27.410205,8,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,121.740875,26.483003,9,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,121.36698,26.240593,10,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,120.372133,24.81498,11,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,119.88821,23.820938,12,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,119.789203,22.797435,13,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,119.45726,21.854467,14,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,118.301487,20.586023,15,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,113.975512,16.444243,16,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,113.235677,15.460793,17,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,112.12259,13.290683,18,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,110.032905,9.530272,19,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,109.910388,9.17722,20,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,109.672805,8.945085,21,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,109.22572,7.882888,22,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,108.621283,6.764832,23,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,108.385232,6.461458,24,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,107.975592,6.167118,25,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,106.848677,5.09066,26,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,105.645953,3.83804,27,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,105.072838,2.78117,28,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,104.784177,1.82573,29,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,104.53297,1.482743,30,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,104.311748,1.310052,31,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,103.912037,1.274422,32,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,104.336727,1.29015,33,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,104.701038,1.580083,34,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,104.893162,1.539927,35,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,105.120712,1.15883,36,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,105.228572,1.125898,37,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,105.152202,1.372425,38,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,105.238783,1.160148,39,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,105.034168,1.413998,40,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,104.553037,1.47373,41,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,104.322393,1.31431,42,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,103.7293,1.139595,43,11548.9
